filename,ic_peak_height,ic_peak_voltage
00001.csv,14.748836467219148,3.314329202505851
00005.csv,1.0186186571217526,3.1843305894110956
00007.csv,1.7641708949690322,3.9128275877366736
00009.csv,2.6707893869604824,3.2433054891662714
00011.csv,3.743310433280526,3.2687536233753445
00013.csv,7.6352817239764805,3.277556160234478
00017.csv,7.23134490606249,3.2502028617257688
00021.csv,12.80854035209345,3.343973856398841
00023.csv,14.687760507152035,3.3932021780427664
00025.csv,20.27314450160028,3.3753212399600447
00027.csv,25.43693246605448,3.399598204693561
00029.csv,20.95990286234063,3.4314847607623307
00033.csv,10.062077674763602,3.355494915622001
00037.csv,20.79390666841644,3.3910756909271607
00039.csv,27.400696714509294,3.4095372105700545
00041.csv,25.66225493083319,3.3971529441485147
00043.csv,37.01690957395393,3.4335929988699507
00045.csv,42.85137898488397,3.449302333398058
00049.csv,44.74917937205688,3.4661499185080533
00051.csv,1.608120317653176,3.8681903379277096
00053.csv,51.11322346742652,3.498237377545848
00055.csv,40.974759596006464,3.46598409657701
00057.csv,37.288332024027426,3.41888917930509
00061.csv,36.63311035349152,3.4540768857993154
00063.csv,35.08408121738692,3.495007398458768
00065.csv,40.79178724384877,3.511607146968844
00067.csv,42.18241523378126,3.486810051618712
00069.csv,41.20529756824759,3.4948933243057776
00073.csv,38.54223450068772,3.4795498943405754
00075.csv,40.806746965628605,3.488113641389268
00077.csv,30.40712626970755,3.506760251808378
00079.csv,32.51176794534036,3.435978620845442
00081.csv,36.84958758143928,3.485439211829839
00085.csv,27.991795402467297,3.399772318332295
00089.csv,42.9580488644547,3.471507830362348
00091.csv,36.00599214068793,3.4278012017444977
00093.csv,25.57990299599222,3.4033360628667877
00095.csv,38.55177035608509,3.4774443892380935
00097.csv,27.87614107178172,3.439971732257195
00101.csv,35.187421315005835,3.489407527312162
00103.csv,18.85184404084307,3.369022376769915
00105.csv,35.07143034173588,3.495736074735399
00107.csv,32.70969198912512,3.491382349567441
00109.csv,34.95313303789713,3.4912456197609014
00113.csv,29.53161643235652,3.4276061116887373
00115.csv,31.78624536917303,3.4418068885336064
00117.csv,20.94138030037557,3.460501874578319
00119.csv,26.991355279753417,3.429862235615362
00121.csv,30.395425244696657,3.4950994073144592
00125.csv,17.985612273616848,3.3519388081174704
00127.csv,24.127883310737737,3.4649529088938094
00129.csv,21.133089669402544,3.4146383341544384
00131.csv,27.380731119261124,3.488741706146381
00133.csv,2.760411523992327,3.814697420562576
00137.csv,41.8999418239145,3.4743964675485772
00141.csv,25.98299692913802,3.390797901241579
00143.csv,18.984792499600104,3.386343895774634
00145.csv,23.72847631292967,3.4249022815761525
00147.csv,27.413715801445168,3.4201664619956915
00149.csv,24.676686591233604,3.4103187062273532
00153.csv,27.870772466268978,3.4103842113089775
00157.csv,28.279650670275323,3.4230472987840193
00159.csv,27.113117061652037,3.4289229622865225
00161.csv,15.692191897339283,3.386977895166872
00163.csv,16.292175403718996,3.3944641655006302
00165.csv,2.908481721645727,3.8202916601937567
00169.csv,33.784771560572906,3.47080167679974
00173.csv,17.994801515177706,3.3680664827684197
00175.csv,14.29571972764393,3.3731712335593125
00177.csv,15.6778572343788,3.4387124902040522
00179.csv,15.685305380703053,3.4054344396314145
00181.csv,18.562060271832628,3.394026604147678
00185.csv,491.72696271802516,3.6749062381833415
00189.csv,3385.239640118783,3.6597121038774265
00191.csv,211.06453338202985,3.6704500016957704
00193.csv,508.2683012948807,3.678930293775907
00195.csv,590.177215511108,3.685894426447553
00197.csv,581.3794946392684,3.6922658035271736
00201.csv,203.63130922943105,3.6950313585907475
00205.csv,203.23185375262202,3.6948912380863463
00207.csv,466.50052166026865,3.6995074669242882
00209.csv,677.3712964423653,3.7020800215202585
00211.csv,580.4393583237536,3.704983955460963
00213.csv,238.98178974138358,3.7039712252645627
00217.csv,454.30578037843287,3.6990270099554063
00221.csv,183.48291323550023,3.7005177659576685
00223.csv,754.7245247187616,3.7023039892919054
00225.csv,760.5542951936449,3.7065602357586798
00227.csv,303.6364871913824,3.707572044319395
00229.csv,224.03399176814364,3.7072211353288225
